Replicate,Heterogeneity model,Tree length,LnL gamma rates,LnL free rates,LnL phyloRNN rates,LnL true rates
288,Bimodal_autocorrelated,0.108,-1903.680,-1903.540,-1867.583,-1901.181
289,Codon_uncorrelated,0.131,-2489.730,-2489.730,-2445.137,-2465.255
290,Bimodal_uncorrelated,2.511,-14134.400,-14113.970,-13555.393,-13701.034
291,GBM_uncorrelated,0.082,-1971.590,-1967.580,-1888.604,-1886.528
292,Spike-and-slab_uncorrelated,0.064,-1914.490,-1914.400,-1869.709,-1914.467
293,Gamma_uncorrelated,0.031,-1728.320,-1726.450,-1715.643,-1704.887
294,Codon_uncorrelated,4.711,-19329.830,-19324.530,-18675.049,-18693.260
295,Gamma_autocorrelated,0.047,-1791.520,-1790.490,-1753.207,-1768.163
296,Bimodal_uncorrelated,0.174,-2552.130,-2551.690,-2525.511,-2466.159
297,Gamma_autocorrelated,0.149,-2617.380,-2617.260,-2510.166,-2530.673
298,Bimodal_autocorrelated,1.448,-8430.910,-8395.000,-7935.134,-7936.224
299,Gamma_uncorrelated,1.097,-6767.310,-6718.550,-6181.313,-6205.035
300,Bimodal_autocorrelated,0.787,-6293.020,-6292.530,-6233.705,-6281.643
301,mixed_model_mixed_model,1.370,-5864.470,-5724.430,-5903.021,-6176.993
302,Bimodal_uncorrelated,0.973,-7255.080,-7254.200,-7177.551,-7110.989
303,Spike-and-slab_uncorrelated,0.046,-1758.810,-1758.390,-1737.058,-1749.042
304,Spike-and-slab_autocorrelated,0.147,-2393.130,-2392.910,-2375.020,-2390.057
305,Bimodal_autocorrelated,5.457,-23403.350,-23398.540,-23020.775,-22998.760
306,GBM_autocorrelated,0.026,-1709.160,-1708.180,-1693.196,-1701.669
307,Bimodal_uncorrelated,8.951,-30632.210,-31628.730,-31583.913,-31629.729
308,Spike-and-slab_uncorrelated,0.371,-4082.650,-4069.440,-3981.192,-4028.971
309,GBM_autocorrelated,0.764,-5890.030,-5888.150,-5724.002,-5876.239
310,Gamma_autocorrelated,0.024,-1542.030,-1541.890,-1533.162,-1522.135
311,Gamma_autocorrelated,3.140,-11810.260,-11786.800,-11119.783,-11115.409
312,Gamma_autocorrelated,20.295,-26884.160,-26905.290,-25695.719,-25513.067
313,GBM_autocorrelated,3.038,-14503.560,-14398.050,-13806.300,-13842.619
314,Spike-and-slab_autocorrelated,6.903,-28058.310,-28058.130,-28020.277,-28038.876
315,Spike-and-slab_autocorrelated,4.081,-18963.450,-18963.010,-18903.400,-18946.592
316,Spike-and-slab_autocorrelated,0.019,-1494.150,-1494.130,-1484.792,-1494.256
317,Spike-and-slab_autocorrelated,13.902,-41295.300,-41294.470,-41242.930,-41254.884
318,Spike-and-slab_uncorrelated,1.802,-10839.590,-10760.160,-10615.276,-10674.612
319,Gamma_autocorrelated,0.406,-4084.620,-4078.860,-3783.741,-3788.672
320,Spike-and-slab_autocorrelated,3.998,-17313.720,-17196.620,-17007.706,-16990.503
321,Gamma_autocorrelated,2.565,-10217.990,-10129.480,-9507.852,-9470.386
322,Bimodal_autocorrelated,1.929,-10757.490,-10671.480,-10111.671,-10074.324
323,Bimodal_autocorrelated,0.025,-1669.430,-1669.140,-1655.710,-1658.076
324,GBM_uncorrelated,2.021,-11809.600,-11808.500,-11509.385,-11557.879
325,Gamma_uncorrelated,10.170,-25250.690,-25186.870,-24309.830,-23992.568
326,Codon_uncorrelated,0.784,-6450.430,-6449.220,-6264.470,-6295.848
327,Gamma_autocorrelated,0.245,-3022.820,-2993.340,-2740.243,-2754.051
328,GBM_autocorrelated,7.755,-29679.560,-29679.440,-29581.417,-29602.809
329,Bimodal_autocorrelated,1.144,-8303.190,-8303.060,-8281.448,-8302.704
330,GBM_autocorrelated,0.210,-3044.420,-3044.100,-3011.704,-3019.668
331,Bimodal_uncorrelated,0.059,-1873.090,-1872.960,-1842.561,-1866.340
332,GBM_uncorrelated,1.733,-9093.940,-9063.640,-8420.911,-8508.109
333,GBM_uncorrelated,12.525,-37530.420,-37522.790,-37505.945,-37137.159
334,GBM_uncorrelated,9.644,-22947.120,-22832.120,-21907.497,-21610.143
335,Codon_uncorrelated,0.478,-4622.130,-4621.470,-4524.756,-4550.106
336,Bimodal_autocorrelated,16.697,-44948.050,-44947.020,-44878.403,-44671.862
337,Spike-and-slab_uncorrelated,16.936,-41253.750,-41210.000,-41188.699,-40967.358
338,Gamma_uncorrelated,0.892,-6486.960,-6455.250,-5957.080,-6021.051
339,Spike-and-slab_autocorrelated,15.841,-41688.050,-41686.620,-41525.226,-41545.399
340,Bimodal_autocorrelated,9.054,-28813.730,-28687.600,-27990.930,-28036.477
341,Bimodal_uncorrelated,0.044,-1585.960,-1585.040,-1570.112,-1581.370
342,Bimodal_autocorrelated,4.155,-17701.870,-17562.720,-16786.948,-16832.394
343,Spike-and-slab_uncorrelated,0.989,-7019.320,-6949.650,-6674.696,-6834.734
344,GBM_uncorrelated,0.067,-2013.050,-2012.860,-1941.336,-1931.255
345,Gamma_autocorrelated,1.541,-9216.130,-9192.750,-8624.370,-8646.796
346,Gamma_autocorrelated,0.030,-1671.940,-1671.920,-1652.524,-1661.632
347,Spike-and-slab_uncorrelated,1.540,-9910.330,-9816.130,-9662.531,-9678.780
348,GBM_uncorrelated,10.705,-19958.800,-19767.750,-18838.980,-18617.976
349,Spike-and-slab_autocorrelated,0.119,-2147.000,-2146.650,-2045.263,-2086.412
350,Spike-and-slab_autocorrelated,0.306,-3523.780,-3523.420,-3389.232,-3491.128
351,Gamma_uncorrelated,0.402,-3663.020,-3660.430,-3465.863,-3497.555
352,Bimodal_autocorrelated,0.328,-3607.190,-3605.210,-3515.098,-3542.784
353,Bimodal_autocorrelated,0.060,-1970.810,-1970.600,-1946.775,-1965.407
354,GBM_autocorrelated,7.057,-27946.510,-27945.510,-27837.728,-27826.470
355,Spike-and-slab_autocorrelated,16.554,-36235.970,-35681.720,-35711.373,-35352.336
356,GBM_autocorrelated,0.061,-1878.040,-1876.830,-1840.879,-1870.872
357,Codon_uncorrelated,0.228,-2757.350,-2756.260,-2677.237,-2683.851
358,GBM_autocorrelated,2.115,-12384.470,-12384.460,-12345.092,-12382.440
359,Bimodal_autocorrelated,0.255,-3265.480,-3265.340,-3134.646,-3162.765
360,Bimodal_autocorrelated,0.391,-4229.140,-4225.670,-3999.696,-3965.037
361,Gamma_uncorrelated,0.377,-3943.990,-3914.120,-3551.757,-3586.122
362,GBM_uncorrelated,0.083,-2026.200,-2025.550,-1969.545,-2016.387
363,GBM_autocorrelated,0.064,-1694.850,-1691.790,-1622.351,-1608.213
364,GBM_autocorrelated,0.190,-2804.850,-2803.300,-2752.436,-2802.319
365,Bimodal_autocorrelated,1.007,-7123.480,-7096.560,-6646.102,-6620.070
366,GBM_uncorrelated,0.062,-1928.790,-1928.760,-1889.673,-1895.526
